0	1431
1	120
2	182
3	224
4	222
5	289
6	395
7	464
8	490
9	592
10	686
11	763
12	844
13	885
14	1021
15	1256
16	1187
17	1317
18	1415
19	1559
20	1547
21	1653
22	1768
23	1944
24	1982
25	1941
26	1910
27	2046
28	2152
29	2020
30	2071
31	2367
32	2142
33	2102
34	2053
35	2190
36	2089
37	2081
38	1919
39	2012
40	1979
41	1982
42	1778
43	1862
44	1771
45	1627
46	1663
47	1700
48	1624
49	1497
50	1530
51	1463
52	1364
53	1384
54	1384
55	1337
56	1207
57	1207
58	1141
59	1089
60	1163
61	1053
62	1030
63	1202
64	1060
65	946
66	939
67	1014
68	928
69	894
70	907
71	935
72	846
73	846
74	772
75	802
76	834
77	717
78	784
79	827
80	766
81	745
82	725
83	722
84	717
85	642
86	669
87	699
88	688
89	664
90	648
91	632
92	676
93	633
94	579
95	664
96	687
97	570
98	591
99	593
100	585
101	520
102	557
103	555
104	532
105	512
106	554
107	499
108	564
109	479
110	473
111	497
112	574
113	464
114	459
115	491
116	494
117	445
118	494
119	470
120	460
121	401
122	390
123	407
124	441
125	424
126	442
127	510
128	505
129	369
130	405
131	411
132	367
133	402
134	386
135	443
136	392
137	461
138	414
139	420
140	449
141	403
142	432
143	473
144	446
145	427
146	457
147	442
148	476
149	445
150	473
151	483
152	482
153	504
154	491
155	461
156	511
157	504
158	492
159	514
160	569
161	503
162	492
163	536
164	572
165	530
166	520
167	584
168	575
169	547
170	623
171	632
172	622
173	657
174	694
175	706
176	829
177	780
178	856
179	946
180	1038
181	1030
182	1090
183	1194
184	1427
185	1400
186	1429
187	1671
188	1801
189	1758
190	1888
191	2120
192	2522
193	2564
194	2600
195	2872
196	2890
197	2949
198	2993
199	3098
200	2907
201	2740
202	2571
203	2296
204	2248
205	1953
206	1797
207	1809
208	1649
209	1654
210	1496
211	1559
212	1395
213	1268
214	1206
215	1171
216	1142
217	1066
218	1090
219	1114
220	1223
221	1141
222	1354
223	1379
224	1670
225	1549
226	1605
227	1706
228	1905
229	2059
230	2699
231	2936
232	2620
233	1754
234	991
235	577
236	470
237	361
238	273
239	214
240	217
241	140
242	104
243	86
244	40
245	36
246	24
247	8
248	2
249	1
250	0
251	0
252	0
253	0
254	0
255	0
